Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
bg,zh,41.84,0.914379004,-1.017857028,0.130564742,-1.411973294,-0.251983894,-0.797450619,0.307574441,0.845972432,0.437920951,0.590200479,0.188499389,0.6266,0.6162,0.6416,1
sl,cs,68.04,-2.948849201,1.092153523,0.308193591,2.821498253,0.429596646,1.645556048,-1.157382288,0.279856384,0.79181248,-1.055766477,-0.307829001,0.4253,0.0002,0.4204,0.0201
sl,ru,60.68,-0.798416536,0.865000571,0.089075212,1.873754059,0.429596646,0.991247113,-0.499150064,0.279856384,0.614246781,-2.104593978,-0.236179779,0.4845,0.6162,0.4254,0.2038
sl,no,56.5,-0.453146461,0.760558157,0.161464387,1.241510192,0.429596646,0.554755058,-0.840558589,0.279856384,0.716190868,0.053878439,0.003463858,0.7157,0.0002,0.669,0.078
sl,es,54.74,0.218492836,0.378308417,0.148140462,1.136962251,0.429596646,0.482576666,-1.487610089,0.279856384,0.855999535,0.354869848,0.028280318,0.5642,0.5922,0.5118,0.0717
sl,ko,16.5,1.092509625,-2.949714514,0.083513199,1.089662201,0.429596646,0.449921393,1.411236708,0.279856384,-1.733542076,0.590200479,0.30521972,0.6243,0.641,0.55,0.4283
sl,et,51.73,0.646566728,-0.185851296,0.11439482,0.749460668,0.429596646,0.215051157,0.787207604,0.279856384,-0.19700432,0.590200479,-0.307829001,0.6644,0.0002,0.669,0.0785
sl,pl,58.75,-0.613408078,0.813914965,0.179935248,0.703254081,0.429596646,0.183150795,0.801097958,0.279856384,-0.213765493,-1.448332833,-0.426361356,0.5124,0.6162,0.5281,0.0341
sl,nl,52.57,0.520115216,0.032994838,0.149925286,0.504323909,0.429596646,0.045812271,-0.337975443,0.279856384,0.556597137,0.28033711,-0.079994612,0.4804,0.0002,0.4622,0.0477
sl,pt,52.93,0.451514869,0.129072545,0.137223975,0.525078257,0.429596646,0.060140773,-1.07504565,0.279856384,0.773633905,0.387188656,-0.274555487,0.3827,0.0002,0.3356,0.0789
